ltable_id,rtable_id,label
0,0,0
1,1,0
2,2,1
3,3,0
4,4,1
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,1
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,1
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,1
36,36,0
37,37,1
38,38,0
39,39,0
40,40,1
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,1
47,47,1
48,48,1
49,49,1
50,50,0
51,51,1
52,52,0
53,53,0
54,54,0
55,22,0
56,55,0
57,56,0
58,57,0
59,58,0
60,59,1
61,60,0
62,61,0
63,62,0
64,63,1
65,64,0
66,65,0
67,66,1
68,67,0
69,68,1
70,69,0
71,26,0
72,70,0
73,71,0
74,72,1
75,73,0
55,74,0
76,75,0
77,76,0
78,77,0
79,78,1
80,79,0
81,80,1
82,81,0
83,82,0
84,83,0
85,75,0
86,84,0
87,85,0
88,86,0
89,87,0
90,88,0
91,89,1
92,90,0
93,91,0
94,92,0
95,93,0
96,94,0
97,95,0
98,96,0
99,72,0
100,97,0
101,98,0
102,99,0
103,100,1
104,101,1
105,102,0
106,103,0
107,104,0
108,105,0
109,106,0
110,107,0
111,108,0
112,109,0
113,110,1
114,111,0
115,112,1
116,113,0
117,114,1
118,115,0
119,116,0
120,117,0
121,118,0
122,119,0
123,120,0
124,121,0
125,122,0
126,123,0
127,124,1
128,125,1
129,28,0
130,54,1
131,126,0
132,127,1
133,128,0
28,129,0
134,130,1
135,131,0
136,132,0
137,133,0
138,134,1
139,135,0
140,136,0
141,137,0
142,138,0
143,139,0
144,140,0
145,141,1
146,142,0
147,64,0
148,143,0
149,144,1
150,145,1
151,146,0
152,147,0
153,148,0
154,149,0
155,150,0
156,151,0
157,152,1
158,153,0
159,154,1
160,155,0
161,156,1
34,157,1
162,158,1
163,159,0
164,160,0
165,161,0
166,162,0
167,163,0
168,164,1
169,165,0
170,166,0
171,167,0
172,168,0
173,169,1
174,170,0
175,171,0
176,172,0
177,173,0
178,174,0
179,99,0
180,175,0
181,176,1
31,177,0
182,178,1
183,179,0
184,180,0
185,181,0
186,182,0
187,183,0
188,184,0
189,185,0
190,104,0
191,186,0
192,187,0
193,188,1
194,189,0
195,190,1
196,191,0
197,192,1
198,193,0
199,194,0
200,195,0
201,159,1
202,196,1
203,197,0
204,198,0
205,199,0
206,200,1
128,201,0
207,202,1
208,203,0
209,204,0
210,205,1
211,206,0
212,87,0
59,207,1
213,104,0
214,208,0
215,209,0
216,210,0
217,211,0
218,212,0
219,213,0
220,214,0
221,215,1
222,216,0
223,217,1
224,218,1
168,219,0
225,220,0
226,221,1
227,222,0
228,223,0
229,224,0
230,140,0
231,225,0
232,226,0
233,227,1
234,228,0
235,229,0
236,230,0
237,231,1
238,232,0
239,233,1
240,234,0
241,235,0
242,236,1
243,237,1
244,1,0
245,238,0
246,239,0
247,240,0
248,241,0
249,242,1
178,243,0
250,244,0
251,245,0
252,75,0
253,246,1
254,247,0
255,248,0
256,249,1
257,250,0
258,251,0
259,252,0
260,253,0
261,254,1
262,255,0
263,256,0
264,257,0
265,258,1
266,259,0
267,260,0
268,57,0
269,261,0
270,262,0
271,263,0
272,260,0
218,264,1
273,265,1
274,266,0
275,267,0
276,268,1
277,269,1
278,270,1
114,271,1
279,256,0
280,272,0
281,273,1
282,274,0
283,275,1
284,59,0
285,276,0
187,277,1
286,75,0
287,278,0
288,58,0
289,279,0
290,280,0
291,281,0
292,282,1
91,283,0
293,284,0
294,285,0
295,286,0
296,287,0
297,288,0
298,289,1
299,290,1
300,291,0
301,292,0
302,293,0
303,294,0
304,295,1
305,17,0
306,296,0
205,297,1
307,298,0
308,299,1
309,300,0
310,301,0
311,302,0
312,303,0
313,210,1
314,263,0
315,304,0
316,305,0
317,306,0
32,307,0
318,308,0
319,309,1
320,310,0
321,311,0
322,271,0
323,312,0
324,313,0
325,56,1
326,314,0
241,315,1
327,259,0
328,137,0
329,316,1
330,317,0
331,318,0
332,319,1
333,320,0
334,321,0
335,322,1
336,323,0
337,324,0
338,325,1
339,326,0
340,327,1
341,328,1
342,329,0
343,330,0
344,218,0
345,331,0
346,229,0
347,332,0
348,333,0
121,334,0
349,335,0
350,336,0
351,185,0
352,337,0
353,338,1
354,339,0
355,340,0
356,341,0
357,342,0
358,343,0
359,344,0
360,345,0
361,135,0
362,346,0
363,347,0
364,348,0
365,141,0
366,194,0
82,349,0
367,350,1
368,351,0
369,352,0
370,336,0
371,353,0
372,354,0
373,355,1
374,356,0
375,111,0
376,357,0
377,358,0
378,359,1
379,301,0
380,360,1
150,361,1
381,252,0
382,362,1
61,363,0
383,102,0
384,364,0
385,365,0
54,366,1
135,367,0
386,368,0
387,369,0
388,370,0
289,371,1
389,372,1
390,257,0
391,373,0
48,374,0
392,375,0
393,376,0
394,377,0
395,378,0
396,321,0
397,379,0
398,380,0
285,311,0
399,381,1
400,382,0
401,383,0
402,384,0
403,385,0
404,386,0
141,387,1
405,388,0
406,389,0
407,388,0
408,86,0
409,390,0
410,294,1
411,391,0
412,392,0
413,393,0
414,394,0
415,395,1
393,396,0
416,397,0
417,398,0
418,399,0
419,377,1
420,400,1
421,401,0
422,402,1
423,186,0
242,403,0
424,404,0
425,9,0
426,405,0
427,406,0
428,407,1
429,408,1
430,409,1
431,150,1
432,410,0
433,59,0
434,233,0
435,411,1
436,412,0
437,413,0
438,414,0
439,415,0
268,416,0
440,417,0
441,418,0
442,135,0
443,167,0
224,419,0
301,420,1
444,421,0
445,422,0
446,423,0
447,424,0
448,425,1
449,426,0
450,427,1
337,428,0
451,429,0
452,430,1
453,431,0
454,432,1
430,64,0
455,104,0
456,433,0
457,434,0
458,435,0
459,436,1
460,437,0
461,438,0
462,439,0
463,440,0
464,441,1
465,442,0
466,443,0
467,444,0
468,445,0
355,224,0
469,446,1
470,447,0
471,448,0
472,449,0
473,450,1
474,237,0
475,451,0
476,370,0
477,452,0
355,232,1
356,392,0
478,453,0
479,199,0
480,454,0
481,455,0
482,456,0
483,457,0
484,458,0
417,459,0
485,460,0
486,461,0
487,462,0
488,463,0
489,464,0
490,465,0
491,320,0
492,85,0
493,466,0
494,467,0
495,468,0
496,469,0
497,470,1
494,471,0
498,472,0
499,473,1
500,421,0
444,393,1
501,474,1
502,140,0
503,475,0
504,476,1
505,477,1
506,478,0
507,479,0
508,480,1
509,481,0
510,205,0
511,482,0
512,483,0
513,484,0
514,485,1
515,486,0
516,487,1
517,488,1
518,341,0
253,489,0
519,84,0
520,490,0
521,491,1
262,492,1
522,493,0
523,494,0
524,495,0
525,496,1
526,497,0
527,498,0
528,75,0
56,499,0
529,500,0
530,501,1
531,502,0
532,503,1
356,244,1
533,504,1
534,505,1
535,506,0
536,507,0
537,508,0
538,509,0
539,510,0
540,22,0
541,511,0
542,344,1
543,512,1
544,513,1
545,118,0
546,514,0
527,504,0
547,515,0
548,516,0
76,517,1
549,518,0
550,519,1
551,520,0
552,521,0
238,332,1
553,522,0
554,523,0
555,524,1
556,525,0
420,526,0
557,527,0
558,90,0
559,528,0
560,529,0
561,255,0
320,530,0
291,449,0
192,28,0
562,255,0
528,91,0
147,17,0
563,531,1
564,532,0
565,533,0
566,534,0
567,535,0
568,536,0
569,207,0
570,98,1
48,537,0
571,71,0
572,538,0
573,389,0
574,539,1
575,540,1
576,541,0
577,542,0
443,47,0
192,543,1
578,481,0
579,544,0
580,545,0
581,546,1
582,547,0
583,548,0
52,549,1
584,550,0
585,551,0
586,402,0
587,552,0
169,553,1
129,554,0
588,555,0
589,556,0
590,557,0
591,17,1
592,558,0
47,559,0
593,277,0
594,560,0
595,561,1
596,562,0
597,563,1
598,564,0
599,565,0
600,421,0
601,566,1
316,149,1
602,567,0
603,568,0
604,72,0
159,569,0
605,570,0
606,571,0
379,17,0
607,572,0
608,573,0
609,86,0
610,574,0
611,575,1
612,576,0
613,577,0
614,578,0
615,238,0
616,579,1
617,580,0
618,581,0
619,582,0
620,199,0
621,583,1
595,259,0
622,470,0
623,584,0
624,585,0
625,586,0
626,587,0
627,588,0
628,589,0
629,590,0
402,591,1
630,535,1
631,592,0
508,593,0
632,594,1
633,595,1
634,596,0
635,597,1
636,538,0
637,598,0
638,599,1
303,600,0
639,601,0
189,83,0
529,602,1
640,361,0
641,603,0
642,604,0
643,191,1
644,605,0
645,606,0
646,607,0
647,608,0
648,609,0
649,610,1
650,611,0
651,612,1
491,613,0
652,614,0
653,127,0
654,615,0
655,271,0
656,616,1
657,617,0
658,618,0
659,17,0
660,619,1
433,341,0
661,620,0
662,621,1
663,337,1
664,259,0
665,622,0
666,623,0
667,341,1
668,624,0
669,625,0
359,421,1
229,332,0
307,626,1
670,627,0
671,628,1
672,629,0
673,630,0
674,302,0
247,631,1
675,632,0
676,633,0
677,634,0
72,635,0
218,636,0
678,637,1
10,638,0
679,639,1
680,640,0
30,641,1
681,312,1
682,642,0
683,148,0
684,643,0
685,644,0
686,645,0
687,646,0
688,647,0
689,648,0
690,649,1
520,650,0
560,651,0
691,652,0
692,653,0
693,654,1
694,655,0
695,656,1
696,657,0
697,229,0
698,658,0
699,659,0
299,660,0
700,661,0
80,662,0
701,143,0
702,663,0
703,664,1
243,476,0
642,665,0
435,666,0
704,667,0
705,668,0
706,669,0
707,670,0
708,83,0
709,671,1
563,104,0
492,672,1
710,673,0
711,674,0
679,9,0
712,670,0
713,675,1
714,676,0
561,454,1
538,677,0
107,678,0
215,679,0
715,680,0
716,681,0
717,682,1
718,683,1
719,684,1
720,685,0
721,457,0
722,686,0
723,687,1
724,200,0
725,148,0
726,688,1
497,689,0
727,71,0
728,690,0
57,691,1
729,692,0
102,693,1
730,694,0
731,695,0
732,696,0
733,697,0
734,698,0
735,447,0
155,699,1
736,497,0
737,700,0
334,117,0
738,701,1
739,425,0
740,702,0
741,43,0
742,703,0
743,704,1
744,705,1
745,706,1
234,707,0
266,708,0
746,709,0
747,493,0
748,168,0
64,164,0
749,710,0
750,711,0
751,140,0
752,712,0
523,713,1
753,714,0
754,715,0
161,716,0
755,717,1
756,718,0
757,719,0
150,462,0
758,515,0
253,4,0
759,84,0
760,720,0
761,239,0
762,336,0
497,721,0
763,588,1
764,722,1
765,587,0
766,309,0
767,723,0
768,243,0
541,724,1
369,725,1
756,726,0
470,702,1
769,727,1
401,728,1
770,729,0
771,730,0
772,199,0
773,731,1
774,732,0
775,733,0
776,390,0
777,734,0
778,735,0
779,736,1
780,737,0
781,738,1
486,182,0
782,727,0
783,739,1
784,740,0
785,741,0
786,405,0
787,742,1
788,743,1
789,492,0
790,744,1
791,745,0
185,746,0
792,747,1
793,748,0
794,494,0
795,749,0
796,750,1
797,751,0
798,358,0
799,752,0
800,753,0
801,754,1
351,755,1
802,756,0
803,757,1
804,758,0
805,230,0
519,246,0
519,745,0
806,759,0
807,760,0
808,761,0
809,762,0
810,534,0
771,763,1
302,764,1
811,765,0
128,11,0
812,766,0
813,767,0
814,148,0
815,768,0
816,554,0
350,559,1
817,769,1
818,770,1
819,675,0
820,394,0
821,771,1
822,489,0
794,772,0
823,773,0
824,595,0
825,774,1
826,420,0
119,775,1
827,776,1
828,777,0
829,778,0
830,779,0
831,75,1
832,780,0
833,781,0
834,131,0
835,642,1
836,782,0
837,783,0
838,784,1
839,785,0
652,786,1
840,787,0
841,788,0
287,789,1
842,790,0
843,791,0
844,792,0
845,2,0
846,793,0
847,794,0
848,795,0
849,796,1
31,797,0
850,538,1
851,798,0
852,799,0
853,800,1
854,693,0
855,733,0
856,801,0
398,802,0
857,317,1
858,803,0
257,804,1
859,805,0
597,806,0
860,188,0
861,243,0
61,807,0
862,65,0
863,808,0
864,809,0
865,810,1
28,266,0
866,160,0
867,811,0
621,812,0
868,813,0
869,814,0
870,815,1
871,816,0
123,817,0
872,125,0
460,638,0
873,818,1
874,819,0
875,820,0
283,230,0
876,296,0
877,821,0
878,291,0
879,822,0
880,47,0
881,823,1
882,32,0
883,824,0
884,825,0
128,84,0
885,826,0
886,263,1
887,14,0
888,827,0
889,828,1
597,829,0
354,830,1
890,831,0
891,832,0
892,222,1
820,833,0
893,834,0
692,494,0
704,623,0
894,835,0
895,836,0
896,837,0
897,171,0
898,838,0
899,839,0
900,840,0
901,841,0
902,813,0
290,842,1
903,843,1
887,844,1
904,845,0
905,846,1
759,847,1
906,848,0
907,415,0
908,849,0
909,850,0
68,851,0
910,465,0
573,388,1
911,852,0
254,853,0
912,854,0
913,855,0
914,856,1
915,857,0
916,219,1
917,203,0
918,858,0
302,859,0
919,860,0
920,812,0
921,861,0
922,862,1
472,718,0
923,863,1
924,745,0
925,864,0
926,865,1
927,453,0
928,866,1
929,867,0
930,232,0
931,868,0
932,869,0
933,870,0
520,871,1
56,872,1
566,102,0
934,873,0
935,84,0
936,874,0
325,875,0
937,862,0
552,306,1
938,876,0
939,847,0
561,87,0
21,877,0
940,864,0
941,345,0
942,878,0
943,879,0
944,880,0
945,881,1
946,882,0
947,733,0
948,883,1
949,174,0
950,884,0
13,885,0
951,886,1
952,635,0
953,887,0
954,74,0
955,888,0
956,822,0
957,417,0
958,889,1
959,115,0
960,165,0
961,147,0
417,890,0
176,260,0
962,891,0
963,892,1
935,745,0
964,893,1
965,894,0
756,642,0
966,61,0
967,889,0
968,532,0
969,364,0
970,895,0
971,253,1
972,169,0
941,125,0
973,171,0
477,896,1
974,897,1
975,898,1
976,899,0
977,296,0
690,900,0
978,834,1
979,901,0
714,902,1
613,262,1
980,903,0
981,707,0
982,904,1
983,905,1
984,906,0
985,143,0
640,907,0
986,165,0
105,908,1
987,788,0
988,909,0
989,160,0
638,345,0
990,910,1
354,54,0
991,492,0
992,911,0
993,912,1
994,164,0
995,913,0
996,914,0
450,915,0
997,916,0
998,565,1
999,917,0
324,441,0
1000,467,0
1001,918,1
1002,919,0
1003,920,0
1004,257,1
1005,576,0
666,921,0
1006,414,1
1007,922,0
1008,923,0
50,11,0
555,924,0
1009,925,0
1010,926,1
883,629,0
678,555,0
1011,927,1
1012,874,0
1013,65,0
1014,928,0
1015,830,0
505,929,0
1016,589,0
